text,label
Groww: Your ICICI Prudential Value Discovery SIP installment of Rs 89 is due on the 5th. Ensure sufficient balance in your linked bank account. Auto-debit will be attempted at 9 AM.,0
"Your Canara Bank EMI of Rs 1,200 for account ending 6666 has been successfully debited. Thank you for your timely payment. Remaining tenure: 24 months.",0
"Your BSNL recharge of Rs 249 is confirmed. Benefits: Unlimited calls, 1.5 GB/day data, 100 SMS/day. Validity: 56 days. Enjoy uninterrupted connectivity.",0
Your Bank of India recurring deposit of Rs 89/month has been debited on 05-May-2026. Maturity date: 12 months from start. Interest rate: 6.5% p.a. View in the Bank of India app.,0
Axis Bank net banking password reset required. Our security team detected an unauthorized login attempt. Reset now at axis-reset.net to prevent account lockout.,3
URGENT Indian Overseas Bank Notice: Credit card ending 3333 will be permanently deactivated in 6 hours if KYC is not completed. Update now: iob-kyc.net,3
Congratulations! Your mobile number was selected in the KBC Season 15 Mega Lucky Draw. You have won Rs 10 lakh. Pay a processing fee of Rs 499 to claim your prize.,2
"I have sent you a gift package from USA full of expensive items. The courier is holding it and asking for Rs 40,000 in customs fees. Please pay it and I will reimburse you fully.",4
"I am Vikram, a nurse working in Singapore. I found your profile online. I have valuable assets worth crores I wish to transfer to India. Help me and I will share 40% with you.",4
"Lucky winner! You have won the Airtel monthly subscriber prize of Rs 1 crore. To receive your reward, pay the standard processing fee of Rs 5,000 and provide your bank account details.",2
"India Post Customs Notice: A package addressed to you from London has been seized. It contains items exceeding the duty-free limit. Pay Rs 25,000 or it will be destroyed in 48 hours.",2
I have sent you a gift package from Singapore full of expensive items. The courier is holding it and asking for Rs 1.5 lakh in customs fees. Please pay it and I will reimburse you fully.,4
"Lucky winner! You have won the Airtel monthly subscriber prize of Rs 50 lakh. To receive your reward, pay the standard processing fee of Rs 5,000 and provide your bank account details.",2
"I am Pooja, a nurse working in Canada. I found your profile online. I have valuable assets worth crores I wish to transfer to India. Help me and I will share 40% with you.",4
"I am Priya, an army officer deployed abroad in Australia. I have discovered Rs 10,000 in gold and cash here. Help me transfer it to India safely and I will give you 30% of everything.",4
"ICICI Bank: A UPI payment of Rs 250 was successfully sent from account ending 7832 to Reliance Fresh via BHIM UPI. If not done by you, report on the ICICI Bank app immediately.",0
We have a court order to seize your assets in connection with a narcotics trafficking case. Ministry of Home Affairs officers are en route to your address. Cooperate by calling back immediately to halt the action.,1
"Zerodha: Your order to buy 10 shares of WIPRO at Rs 1,450 has been executed. Contract note will be sent to your registered email. For details, view your portfolio.",0
"We have recorded your screen while you visited an adult website. Pay Rs 15,000 in Bitcoin within 30 minutes or the video will be sent to all your contacts and your employer immediately.",4
"Your Vi recharge of Rs 719 is confirmed. Benefits: Unlimited calls, 1.5 GB/day data, 100 SMS/day. Validity: 365 days. Enjoy uninterrupted connectivity.",0
Myntra Return Update: Your return request for order #244269792 has been approved. Pickup scheduled for today. Refund will be processed after quality check.,0
Your Voter ID has been found in a database seized during a drug trafficking raid. Sub-Inspector Priya Mehta from Narcotics Control Bureau requires your immediate cooperation. Failure to comply will result in prosecution.,1
"My darling, I am stuck at the Australia customs. They have seized my luggage with gifts for you worth lakhs. Please send Rs 25,000 as customs duty and I will reach you within 3 days.",4
"HDFC Bank: INR 89 credited to your a/c **5623 on 07-May-2026 by NEFT from Amazon. Updated bal: Rs 12,450. Ref: TXN3990865618. For details visit HDFC Bank mobile app.",0
This is Sub-Inspector Neha Khanna from Delhi Police Cyber Cell. Your Driving License was used to open a fraudulent account used in drug trafficking. Report to our online portal within 20 minutes or a search warrant will be executed.,1
