text,label
"Urgent! Work from home and earn $5000/week. No experience needed. Send payment of $50 to register now.",scam
"Congratulations! You have been selected for an internship. Please pay $200 registration fee immediately.",scam
"IMMEDIATE JOINING REQUIRED. Earn guaranteed income of $3000/month. Wire transfer payment required.",scam
"Limited offer! Get paid $500/day just by clicking links. Crypto payment only. Apply now!",scam
"We are hiring remote workers. Pay $100 upfront for training materials. Guaranteed job placement!",scam
"You have won a job at Google! Send your bank details to claim your salary advance immediately.",scam
"Internship opportunity: Earn $2000/week from home. Must pay $150 processing fee via Bitcoin.",scam
"URGENT: Job offer expiring in 24 hours! Send $300 security deposit to secure your position.",scam
"Work from home data entry job. Earn $50 per hour. No interview required. Pay training fee first.",scam
"FAKE RECRUITER: Hello dear, I found your profile. Please send personal documents and pay $75 fee.",scam
"Get rich quick with our exclusive home-based business. Invest just $500 and earn millions!",scam
"Crypto trading job: Work from home, earn $10,000/month. Send Bitcoin to start your training.",scam
"Fake Microsoft job offer: You are selected! Please provide SSN and pay $200 onboarding fee.",scam
"Earn easy money online! Just like and share posts for $300/day. Pay $50 starter kit fee.",scam
"Immediate opening! No skills required. Earn $1000/day. Limited seats. Pay now to reserve.",scam
"Phishing recruiter email: Dear candidate, your application is approved. Send bank account details.",scam
"WORK FROM HOME SCAM: Package delivery job. Earn $500/package. Pay $100 for registration today!",scam
"Fake internship at Amazon: Start immediately, earn $5000/month. Send Zelle payment for equipment.",scam
"Alert: Your job application is selected. Wire $250 for background verification to proceed.",scam
"Hot job alert! Earn $2000 weekly as online assistant. Pay $30 joining fee via PayPal now.",scam
"Congratulations you have been shortlisted! Please pay Rs 2000 for document processing fee urgently.",scam
"SCAM: Online survey job. Earn $200/survey. No experience needed. Pay $20 for survey access.",scam
"Fake HR: We need to verify your identity. Please send Aadhaar, PAN and pay Rs 500 security deposit.",scam
"Urgent vacancy: Night shift data entry. Earn $800/night. Send advance payment of $100 to confirm.",scam
"Job scam: International company hiring. Relocation bonus $10,000. Pay visa processing fee first.",scam
"Phishing: Click here to verify your LinkedIn job application. Enter your password to proceed.",scam
"Scam internship: Top MNC internship. Earn stipend Rs 30,000. Pay Rs 1500 enrollment fee urgently.",scam
"Guaranteed placement after payment of Rs 5000. No interview. Direct selection. Limited offer now!",scam
"Fake job portal: Your resume matched 50 jobs! Pay Rs 999 to unlock contact details now.",scam
"Investment job scam: Work from home. Invest $200 in crypto. Earn $2000 in 7 days guaranteed.",scam
"Urgent: Part time typing job. Rs 500 per page. Pay Rs 300 security deposit. No experience needed.",scam
"Freelance job scam: Earn $300/day rating products online. Pay $50 to access the platform now.",scam
"You are pre-selected for senior developer role at FAANG company. Pay $500 interview scheduling fee.",scam
"Fake Google recruiter: Congratulations on being selected! Please share OTP and pay joining amount.",scam
"Amazon work from home: Pack and ship items, earn $1200/week. Send $150 starter deposit today.",scam
"Phishing job email: Your salary is on hold. Click link to verify bank account to receive payment.",scam
"HR scam: You are hired! Send us copy of all bank cards for KYC. Pay Rs 2000 documentation fee.",scam
"SCAM ALERT: Earn Rs 50,000/month typing captcha at home. Pay Rs 1000 for software license key.",scam
"Fake internship WhatsApp: Congrats selected for Google internship! Pay Rs 500 to confirm seat.",scam
"Too good to be true: Sales executive, earn $5000/week, no target, no interview, pay deposit now.",scam
"Job offer scam: International BPO hiring. Salary $4000/month. Pay $200 airport clearance fee.",scam
"Crypto referral job: Share links and earn $200/day. Buy starter pack for $100 to begin.",scam
"Fake job ad: Work 2 hours daily, earn $3000/month. Must have internet. Pay $75 registration fee.",scam
"Phishing: Your application at Infosys approved! Login at infosys-jobs-apply.com to confirm now.",scam
"Scam message: Earn from Instagram by liking posts. Pay Rs 500 task activation fee to start today.",scam
"Urgent job: Night shift call center. No interview. Direct joining. Pay Rs 800 training materials.",scam
"We will process your H1B visa for $500. Guaranteed USA job. Wire transfer only. Act fast today.",scam
"Job scam: Earn $1500 weekly reshipping packages. No experience. Pay $200 for starter supplies.",scam
"Suspicious recruiter: You are selected! Please provide mother maiden name, DOB, and pay $100 fee.",scam
"FAKE COMPANY: Royal Overseas Jobs hiring! Pay Rs 10,000 for work permit. Guaranteed placement.",scam
"URGENT: Your bank account will be blocked. Click here to verify your details immediately.",scam
"Dear customer, your KYC is expired. Update now by sending Aadhaar and PAN to this number.",scam
"You have won Rs 50,000 in our lucky draw! Pay Rs 200 processing fee to claim your prize now.",scam
"SBI alert: Suspicious activity detected. Share OTP to secure your account immediately.",scam
"Your electricity connection will be cut tonight. Pay Rs 1500 now to avoid disconnection.",scam
"Fake HDFC: Your card is blocked. Call us and share card number and CVV to unblock it.",scam
"Congratulations! You won an iPhone 15. Pay only Rs 299 shipping fee to receive your prize.",scam
"IRCTC refund pending: Click link and enter bank details to receive your Rs 3400 refund now.",scam
"Income tax refund of Rs 8500 approved. Submit bank account details to process immediately.",scam
"Amazon: Your order is on hold. Pay Rs 150 customs fee to release your package today.",scam
"Paytm KYC update required. Share your Aadhaar OTP with our executive to avoid account suspension.",scam
"Your loan is approved for Rs 5,00,000. Pay Rs 2000 processing fee to receive disbursement today.",scam
"Free recharge offer! Share this link with 10 friends and get Rs 500 Jio recharge instantly.",scam
"WhatsApp job: Like YouTube videos and earn Rs 500 per task. Pay Rs 200 activation fee to start.",scam
"Telegram scam: Join our crypto group. Invest Rs 1000 and earn Rs 10,000 in 3 days guaranteed.",scam
"Fake police call: You have an arrest warrant. Pay Rs 50,000 via UPI to settle the case now.",scam
"Your Aadhaar is linked to illegal activity. Share details with CBI officer to clear your name.",scam
"Lottery winner: You have been selected in KBC! Send Rs 1000 to claim your Rs 25 lakh prize.",scam
"Fake delivery: Your parcel is held at customs. Pay Rs 499 clearance fee via this link now.",scam
"Online part time job: Watch ads and earn Rs 800/hour. Pay Rs 300 joining fee to activate account.",scam
"Urgently hiring home-based workers. No experience. Earn Rs 1200/day. Pay Rs 500 to get started.",scam
"Your credit card reward points expire today! Click link and enter card details to redeem now.",scam
"Fake scholarship: You are selected for Rs 1,00,000 scholarship. Pay Rs 500 registration fee.",scam
"Work from home packing job: Earn Rs 600 per packet. Pay Rs 400 for materials. No experience needed.",scam
"Google pay scam: You received Rs 10,000. Accept by clicking link and entering your UPI PIN now.",scam
"Fake court notice: Case filed against your Aadhaar. Pay Rs 5000 fine to avoid arrest today.",scam
"MLM scam: Join our network. Invest Rs 2000 and earn Rs 20,000 monthly by referring friends.",scam
